,City,Country,Date,Cloudiness,Humidity,Max Temp,Wind Speed,Lat,Lng
76,Kralendijk,BQ,1580257311,0,78,78.8,6.93,12.15,-68.27
77,Vila Velha,BR,1580257312,75,88,82.99,10.29,-20.33,-40.29
78,Saint-Joseph,RE,1580257313,75,68,72.0,6.93,-21.37,55.62
79,Indramayu,ID,1580257023,100,80,80.53,3.53,-6.33,108.32
80,Alice Springs,AU,1580257177,67,42,86.0,10.29,-23.7,133.88
81,Khani,GE,1580257316,75,45,48.2,3.36,41.96,42.96
82,Hermanus,ZA,1580257317,100,97,64.99,1.99,-34.42,19.23
83,Cherskiy,RU,1580257318,100,97,-23.22,7.9,68.75,161.3
84,Hong Kong,HK,1580257087,1,51,53.01,5.82,22.29,114.16
85,Camacha,PT,1580257321,20,72,62.6,8.05,33.08,-16.33
86,Ciudad Lazaro Cardenas,MX,1580257322,51,56,76.55,4.61,17.96,-102.2
87,Jamestown,US,1580257172,90,92,33.01,6.93,42.1,-79.24
88,Harper,LR,1580257324,91,84,78.3,2.15,4.38,-7.72
89,Oranjestad,AW,1580257121,20,78,80.6,9.17,12.52,-70.03
90,Trincomalee,LK,1580257327,95,96,68.07,2.21,8.57,81.23
91,Nakamura,JP,1580257328,0,73,50.52,7.65,32.98,132.93
92,Petropavlovsk-Kamchatsky,RU,1580257329,40,79,21.2,6.71,53.05,158.65
93,Clyde River,CA,1580257061,5,68,-18.4,12.75,70.47,-68.59
94,Valea Ierii,RO,1580257332,75,81,42.8,10.29,46.65,23.35
95,Los Llanos de Aridane,ES,1580257333,96,72,60.8,6.93,28.66,-17.92
96,Puerto Ayora,EC,1580257334,75,69,82.4,11.41,-0.74,-90.35
97,Nikolskoye,RU,1580257335,90,92,30.99,11.18,59.7,30.79
98,Puri,IN,1580257336,75,100,71.6,8.37,19.8,85.85
99,Sabha,LY,1580257338,0,28,60.03,10.18,27.04,14.43
100,Bengkulu,ID,1580257339,100,95,74.35,5.5,-3.8,102.27
101,Alamosa,US,1580257340,1,80,32.0,4.7,37.47,-105.87
102,Kiryat Gat,IL,1580257325,40,87,53.6,5.82,31.61,34.76
103,Yatou,CN,1580257343,99,86,38.01,15.21,37.15,122.38
104,Mahebourg,MU,1580257344,20,88,73.0,6.93,-20.41,57.7
105,Zyryanka,RU,1580257345,28,98,-28.32,4.41,65.75,150.85
106,Thompson,CA,1580257181,90,92,12.2,6.93,55.74,-97.86
107,Juegang,CN,1580257347,0,77,39.99,1.01,32.32,121.19
108,Port Alfred,ZA,1580257348,1,87,66.0,5.99,-33.59,26.89
109,Chicama,PE,1580257350,20,83,73.4,10.29,-7.84,-79.15
110,Lokosovo,RU,1580257351,100,94,-12.75,9.93,61.13,74.82
111,Airai,TL,1580257213,85,65,77.9,2.46,-8.93,125.41
112,Torva,EE,1580257353,90,86,32.0,12.75,58.0,25.93
113,Remedios,CU,1580257354,53,76,74.41,4.18,22.49,-79.55
114,Umea,SE,1580257157,100,100,23.0,6.93,63.83,20.26
115,Codigoro,IT,1580257357,34,81,48.99,4.7,44.83,12.11
116,Torbay,CA,1580257358,90,100,30.99,5.82,47.67,-52.73
117,Behshahr,IR,1580257359,2,86,37.4,2.24,36.69,53.55
118,Wasilla,US,1580257360,75,65,10.99,3.36,61.58,-149.44
119,Ubari,LY,1580257361,0,19,60.75,10.04,26.59,12.78
